# Observation File: observation_columnSpinup.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow depth [m]
# Region: surface domain
# Reduction: average
# Variable: snow-depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow density [kg/m^3]
# Region: surface domain
# Reduction: average
# Variable: snow-density
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-subsurface_evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [mSWE/d]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow cumulation [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Reduction: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","snow depth [m]","snow density [kg/m^3]","evaporation rate [m/d]","evaporation cumulation [m3/d]","subsurface evaporation cumulation [m3/d]","discharge cumulation [mol/d]","surface-subsurface exchange cumulation [mol/d]","snowmelt rate [m/d]","snowmelt cumulation [m3/d]","rain [m/d]","rain cumulation [m3/d]","snow [mSWE/d]","snow cumulation [m3SWE/d]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m/d]","surface temperature [K]","air temperature [K]","thaw depth [m]","water table depth [m]","net runoff [mol/d]"
1.000000000000e+01,9.619774172522e+05,2.914307952518e+03,1.950106860368e+03,1.829315797876e-01,1.921120780714e+02,-3.388307182253e-05,-3.388307182253e-05,0.000000000000e+00,0.000000000000e+00,6.179419536357e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.549004224059e+04,1.000000000000e+00,0.000000000000e+00,2.699246646562e+02,2.608928222656e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.100000000000e+01,9.619700905188e+05,2.921634686946e+03,1.950062599441e+03,1.771212256829e-01,1.984317618056e+02,-3.110927532328e-06,-3.110927532328e-06,0.000000000000e+00,0.000000000000e+00,7.326734427813e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.548387131115e+04,1.000000000000e+00,0.000000000000e+00,2.690290067236e+02,2.599305114746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.200000000000e+01,9.619621721895e+05,2.929553015098e+03,1.950552203158e+03,1.721328231135e-01,2.042561648394e+02,-1.271346753341e-05,-1.271346753341e-05,0.000000000000e+00,0.000000000000e+00,7.918328152027e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.547773389963e+04,1.000000000000e+00,0.000000000000e+00,2.682666086758e+02,2.546944274902e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.300000000000e+01,9.619544255369e+05,2.937299669314e+03,1.950698452052e+03,1.676436925919e-01,2.097512873307e+02,-4.290040625431e-06,-4.290040625431e-06,0.000000000000e+00,0.000000000000e+00,7.746654216038e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.547512457530e+04,1.000000000000e+00,0.000000000000e+00,2.679705806543e+02,2.544865875244e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.400000000000e+01,9.619467025448e+05,2.945022663744e+03,1.950616406648e+03,1.636131631474e-01,2.149280813012e+02,-1.583005275099e-06,-1.583005275099e-06,0.000000000000e+00,0.000000000000e+00,7.722994430707e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.547029430440e+04,1.000000000000e+00,0.000000000000e+00,2.674574554331e+02,2.581724853516e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.500000000000e+01,9.619390301508e+05,2.952695058120e+03,1.952303080291e+03,1.602012644332e-01,2.197161371902e+02,-3.373979143330e-05,-3.373979143330e-05,0.000000000000e+00,0.000000000000e+00,7.672394375168e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.546504182543e+04,1.000000000000e+00,0.000000000000e+00,2.669420201549e+02,2.550348205566e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.600000000000e+01,9.619316089712e+05,2.960116238009e+03,1.951775398100e+03,1.568024492987e-01,2.244310699749e+02,7.461523772564e-06,7.461523772564e-06,0.000000000000e+00,0.000000000000e+00,7.421179889010e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.866508885612e-17,4.866508885612e-17,5.546180726644e+04,1.000000000000e+00,0.000000000000e+00,2.666430197498e+02,2.524987030029e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.700000000000e+01,9.619240263018e+05,2.967698907192e+03,1.957142432851e+03,1.545222442392e-01,2.284171586571e+02,2.162488394998e-05,2.162488394998e-05,0.000000000000e+00,0.000000000000e+00,7.582669183774e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.258153947956e-04,1.258153947956e-04,5.545014689243e+04,1.000000000000e+00,0.000000000000e+00,2.656577022583e+02,2.421457519531e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.800000000000e+01,9.619164112657e+05,2.975313944188e+03,1.955607070945e+03,1.514523391533e-01,2.329019188190e+02,2.199161217747e-05,2.199161217747e-05,0.000000000000e+00,0.000000000000e+00,7.615036995591e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.544119044630e+04,1.000000000000e+00,0.000000000000e+00,2.649785879650e+02,2.458985595703e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.900000000000e+01,9.619087051775e+05,2.983020032500e+03,1.954900674956e+03,1.488634632351e-01,2.369800829290e+02,-4.135463767462e-06,-4.135463767462e-06,0.000000000000e+00,0.000000000000e+00,7.706088311622e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.541466741098e+04,1.000000000000e+00,0.000000000000e+00,2.632394222266e+02,2.401184844971e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e+01,9.619006911372e+05,2.991034073407e+03,1.954979290662e+03,1.464845910672e-01,2.408844016625e+02,-8.177216235980e-06,-8.177216235980e-06,0.000000000000e+00,0.000000000000e+00,8.014040906920e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.540405347923e+04,1.000000000000e+00,0.000000000000e+00,2.626272078545e+02,2.435704956055e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.100000000000e+01,9.618927378496e+05,2.998987360899e+03,1.954258679917e+03,1.442290432965e-01,2.446736428364e+02,-3.192362042936e-06,-3.192362042936e-06,0.000000000000e+00,0.000000000000e+00,7.953287492328e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.537862122129e+04,1.000000000000e+00,0.000000000000e+00,2.612985350752e+02,2.401656188965e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.200000000000e+01,9.618847010834e+05,3.007024126477e+03,1.953611828294e+03,1.421216995863e-01,2.483208447056e+02,-2.735066108401e-06,-2.735066108401e-06,0.000000000000e+00,0.000000000000e+00,8.036765577660e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.535600077533e+04,1.000000000000e+00,0.000000000000e+00,2.602434132372e+02,2.386882019043e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.300000000000e+01,9.618768867981e+05,3.014838412022e+03,1.952207747587e+03,1.400117019198e-01,2.518583210606e+02,2.866828774053e-05,2.866828774053e-05,0.000000000000e+00,0.000000000000e+00,7.814285545718e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.536118700853e+04,1.000000000000e+00,0.000000000000e+00,2.604764867969e+02,2.425260009766e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.400000000000e+01,9.618696552747e+05,3.022069935604e+03,1.953726644993e+03,1.382325438557e-01,2.552192147799e+02,-1.648912936662e-05,-1.648912936662e-05,0.000000000000e+00,0.000000000000e+00,7.231523581458e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.537836520272e+04,1.000000000000e+00,0.000000000000e+00,2.612859905806e+02,2.535125885010e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.500000000000e+01,9.618631816788e+05,3.028543531287e+03,1.958179005317e+03,1.368459208293e-01,2.583550134838e+02,-7.522843569828e-05,-7.522843569828e-05,0.000000000000e+00,0.000000000000e+00,6.473595683724e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.538646404936e+04,1.000000000000e+00,0.000000000000e+00,2.616901049173e+02,2.584590148926e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.600000000000e+01,9.618572451781e+05,3.034480031509e+03,1.961135181267e+03,1.354266399532e-01,2.614733386832e+02,-5.562615016642e-05,-5.562615016642e-05,0.000000000000e+00,0.000000000000e+00,5.936500221767e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.538294107667e+04,1.000000000000e+00,0.000000000000e+00,2.615123866160e+02,2.573594055176e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.700000000000e+01,9.618517150332e+05,3.040010176216e+03,1.965894737086e+03,1.341936269076e-01,2.644486136036e+02,-7.686293870724e-05,-7.686293870724e-05,0.000000000000e+00,0.000000000000e+00,5.530144707124e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.539710564717e+04,1.000000000000e+00,0.000000000000e+00,2.622464750954e+02,2.578700561523e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
